Benchmark,Width,Seed,Result,Partitions,Prune,Error_check,Transitions,Transitions_Pruned,Error,Est_Mean_se,Est_Max_se,New_Mean_Error,New_Max_Error,New_Min_Error,Error_std,Template,Tot_Time,Learner_Time,Certifier_Time,Abstraction_Time,Verification_Time
Non-Lipschitz2,[14 12],0,False,,False,False,,,,,,inf,inf,inf,inf,pwa,569.3950674649996,23.905621396999777,7.978169767000509,14.666870168999594,
Non-Lipschitz2,[14 12],1,S,28,False,False,150,150,[0.045 0.091],,,[0.045 0.091],[0.045 0.091],[0.045 0.091],[0.00000000e+00 4.16333634e-17],pwa,40.66025944699959,11.878623608000453,16.101964939000027,5.508774578999692,0.356001
Non-Lipschitz2,[14 12],2,False,,False,False,,,,,,inf,inf,inf,inf,pwa,557.4266433520006,23.47728038600053,18.574180648999572,7.450996225000381,
Non-Lipschitz2,[14 12],3,False,,False,False,,,,,,inf,inf,inf,inf,pwa,106.23870987200007,16.67992479700024,7.4372579350001615,20.57633730299949,
Non-Lipschitz2,[14 12],4,S,26,False,False,140,140,[0.035 0.106],,,[0.035 0.106],[0.035 0.106],[0.035 0.106],[2.08166817e-17 0.00000000e+00],pwa,128.6356432800003,24.355943305000437,18.76909744400018,9.990048716999809,67.3611
Non-Lipschitz2,[14 12],5,False,,False,False,,,,,,inf,inf,inf,inf,pwa,57.860654828000406,16.00669986200046,9.422964727999897,16.215775249000217,
Non-Lipschitz2,[14 12],6,False,,False,False,,,,,,inf,inf,inf,inf,pwa,528.0436175199993,7.999731264999355,7.8161018229993715,4.4087807220003015,
Non-Lipschitz2,[14 12],7,False,,False,False,,,,,,inf,inf,inf,inf,pwa,557.9779195449992,15.22417139800018,20.661693283000204,11.481390331999137,
Non-Lipschitz2,[14 12],8,False,,False,False,,,,,,inf,inf,inf,inf,pwa,80.40323484299915,7.9319419149996975,21.818770796000535,18.757617989998835,
Non-Lipschitz2,[14 12],9,S,19,False,False,78,78,[0.04  0.089],,,[0.04  0.089],[0.04  0.089],[0.04  0.089],[6.93889390e-18 1.38777878e-17],pwa,136.26274063500023,13.194076643998415,16.835145601000477,4.4905054480004765,94.8021
Non-Lipschitz2,[14 12],0,False,,False,True,,,,,,inf,inf,inf,inf,pwa,74.71015229499972,19.584298661999128,8.067006297986154,10.984995606000666,
Non-Lipschitz2,[14 12],1,S,28,False,True,150,150,[0.045 0.091],,,[0.02585714 0.04421429],[0.011 0.005],[0.045 0.091],[0.01231351 0.03446982],pwa,44.83994970299864,11.885148407000088,19.781823867004277,5.989878862999831,0.298001
Non-Lipschitz2,[14 12],2,S,40,False,True,240,240,[0.031 0.11 ],,,[0.0259  0.06465],[0.015 0.005],[0.031 0.11 ],[0.00531413 0.04471775],pwa,65.2419414800006,25.67819599500035,20.708306498005186,7.846835820999331,2.42001
Non-Lipschitz2,[14 12],3,S,160,False,True,1146,1146,[0.053 0.105],,,[0.02889375 0.03801875],[0.005 0.005],[0.053 0.105],[0.01523097 0.04180901],pwa,122.33878515200013,17.078158279999116,10.546231586009526,20.229723282998748,12.3151
Non-Lipschitz2,[14 12],4,S,26,False,True,140,140,[0.035 0.106],,,[0.0225     0.04723077],[0.005 0.005],[0.035 0.106],[0.00942276 0.04035831],pwa,162.41304661800132,26.362957492001442,19.955277522007236,9.881845286001408,98.2611
Non-Lipschitz2,[14 12],5,False,,False,True,,,,,,inf,inf,inf,inf,pwa,59.94010185099978,16.435589125998376,10.710450528989895,16.388295241999003,
Non-Lipschitz2,[14 12],6,False,,False,True,,,,,,inf,inf,inf,inf,pwa,530.0951757290004,8.290358390999245,9.017818255995735,4.610428855999999,
Non-Lipschitz2,[14 12],7,S,41,False,True,248,248,[0.038 0.097],,,[0.02421951 0.05368293],[0.01  0.006],[0.038 0.097],[0.00878333 0.03297408],pwa,68.8827733800008,15.776022715999716,21.871822802004317,11.494780655000795,7.61401
Non-Lipschitz2,[14 12],8,False,,False,True,,,,,,inf,inf,inf,inf,pwa,581.9379128620003,8.812240069000836,24.127163936003853,18.807213861999116,
Non-Lipschitz2,[14 12],9,S,19,False,True,78,78,[0.04  0.089],,,[0.02484211 0.02773684],[0.011 0.005],[0.04  0.089],[0.00862837 0.02817584],pwa,163.58970252899962,13.760283023000738,19.79334372500307,5.266689146999852,117.135
Non-Lipschitz2,[20],0,S,56,False,False,356,356,[0.82880028 0.82880169],,,[0.82880028 0.82880169],[0.82880028 0.82880169],[0.82880028 0.82880169],[0. 0.],pwc,84.05242542199994,71.27148184100224,2.1860304750007344,0.44339875600053347,8.18201
Non-Lipschitz2,[20],1,S,70,False,False,480,480,[0.96148029 0.96148431],,,[0.96148029 0.96148431],[0.96148029 0.96148431],[0.96148029 0.96148431],[0. 0.],pwc,36.87083828500181,11.527846634002344,0.36705932399854646,0.5841436629998498,21.4341
