Benchmark,Width,Seed,Result,Partitions,Prune,Error_check,Transitions,Transitions_Pruned,Error,Est_Mean_se,Est_Max_se,New_Mean_Error,New_Max_Error,New_Min_Error,Error_std,Template,Tot_Time,Learner_Time,Certifier_Time,Abstraction_Time,Verification_Time
Water-tank,[12],0,S,6,True,True,10,5,[0.097],0.2213,1.94513,[0.02316667],[0.006],[0.092],[0.03085675],pwa,79.84029045600073,79.42117393599983,0.049977184000454145,0.1077787750018615,0.0170001
Water-tank,[12],5,S,6,True,True,10,5,[0.103],0.21958,1.99722,[0.037],[0.009],[0.092],[0.03616167],pwa,17.023914804000015,16.66627490100109,0.02772924300552404,0.10961813299945788,0.0160001
Water-tank,[12],8,S,8,True,True,14,7,[0.102],0.22541,1.96826,[0.042375],[0.007],[0.102],[0.04347395],pwa,57.68166184899928,57.22917371600124,0.06001437999475456,0.1188068999999814,0.0170001
Water-tank,[12],14,S,7,True,True,12,6,[0.097],0.2181,1.99559,[0.02242857],[0.006],[0.086],[0.02646214],pwa,55.8196316120011,55.40759870200236,0.05846579800163454,0.10564514199904806,0.0160001
Water-tank,[12],18,S,7,True,True,12,6,[0.086],0.22161,1.97477,[0.03142857],[0.008],[0.086],[0.0308816],pwa,19.45503323400044,19.096364827999423,0.040187152997532394,0.1085133210017375,0.0160001
Water-tank,[12],20,S,7,True,True,12,6,[0.085],0.22422,1.97426,[0.04028571],[0.006],[0.085],[0.03299227],pwa,347.55960763800067,347.2031748900008,0.028459219001888414,0.12374327500037907,0.0220001
Water-tank,[12],27,S,6,True,True,10,5,[0.093],0.22556,1.94925,[0.03133333],[0.008],[0.083],[0.02831176],pwa,24.602417504000186,24.229691237000225,0.037959681983920746,0.1105558179988293,0.0200001
Water-tank,[12],31,S,7,True,True,12,6,[0.081],0.22237,1.98265,[0.029],[0.005],[0.081],[0.02925259],pwa,25.097641366999596,24.70787400500012,0.03924654299225949,0.12223503699897265,0.0180001
Water-tank,[12],32,S,8,True,True,14,7,[0.101],0.21927,1.95777,[0.029375],[0.006],[0.096],[0.03479202],pwa,18.922799406000195,18.380169247000595,0.06801092299247102,0.13762488499924075,0.0290001
Water-tank,[12],39,S,8,True,True,14,7,[0.094],0.22102,1.95829,[0.031125],[0.008],[0.094],[0.03366169],pwa,17.837557880999157,17.415730108999924,0.03569939600492944,0.13187119099893607,0.0260001
Non-Lipschitz1,[10],0,S,12,True,True,40,35,[0.012 0.093],3e-05,0.00523,[0.0075     0.04466667],[0.005 0.009],[0.012 0.097],[0.00259808 0.03739504],pwa,17.872389242998906,16.460698766999485,0.7602705519893789,0.35614786700170953,0.0660001
Non-Lipschitz1,[10],5,S,20,True,True,110,96,[0.007 0.135],3e-05,0.0097,[0.00525 0.0482 ],[0.005 0.006],[0.007 0.135],[0.00062249 0.05290898],pwa,27.063478228999884,19.086171805998674,6.313324425002065,1.1561796099995263,0.0530001
